,_id,access_control,create_time,in_humidity,in_temperature,out_humidity,out_temperature,power_consumption
97,5cef7219af95641c52e9adb2,1,2019-05-30 06:03:05,0.66,30.0,0.99,25.0,3574.0
98,5cef7223af95641c52e9adb3,1,2019-05-30 06:03:15,0.66,30.0,0.99,25.0,3574.0
99,5cef722daf95641c52e9adb4,1,2019-05-30 06:03:25,0.66,30.0,0.99,25.0,3574.0
100,5cef7237af95641c52e9adb5,1,2019-05-30 06:03:35,0.66,30.0,0.99,25.0,3574.0
101,5cef7241af95641c52e9adb6,1,2019-05-30 06:03:45,0.66,30.0,0.99,25.0,3574.0
102,5cef724baf95641c52e9adb7,1,2019-05-30 06:03:55,0.66,30.0,0.99,25.0,3574.0
103,5cef7255af95641c52e9adb8,1,2019-05-30 06:04:05,0.66,30.0,0.99,25.0,3574.0
104,5cef725faf95641c52e9adb9,1,2019-05-30 06:04:15,0.66,30.0,0.99,25.0,3574.0
105,5cef7269af95641c52e9adba,1,2019-05-30 06:04:25,0.66,30.0,0.99,25.0,3574.0
106,5cef7273af95641c52e9adbb,1,2019-05-30 06:04:35,0.66,30.0,0.99,25.0,3574.0
107,5cef727daf95641c52e9adbc,1,2019-05-30 06:04:45,0.66,30.0,0.99,25.0,3574.0
108,5cef7287af95641c52e9adbd,1,2019-05-30 06:04:55,0.66,30.0,0.99,25.0,3574.0
109,5cef7291af95641c52e9adbe,1,2019-05-30 06:05:05,0.66,30.0,0.99,25.0,3574.0
110,5cef729baf95641c52e9adbf,1,2019-05-30 06:05:15,0.66,30.0,0.99,25.0,3574.0
111,5cef72a5af95641c52e9adc0,1,2019-05-30 06:05:25,0.66,30.0,0.99,25.0,3574.0
112,5cef72afaf95641c52e9adc1,1,2019-05-30 06:05:35,0.66,30.0,0.99,25.0,3574.0
113,5cef72b9af95641c52e9adc2,1,2019-05-30 06:05:45,0.66,30.0,0.99,25.0,3574.0
114,5cef72c3af95641c52e9adc3,1,2019-05-30 06:05:55,0.66,30.0,0.99,25.0,3574.0
115,5cef72cdaf95641c52e9adc4,1,2019-05-30 06:06:05,0.66,30.0,0.99,25.0,3574.0
116,5cef72d7af95641c52e9adc5,1,2019-05-30 06:06:15,0.66,30.0,0.99,25.0,3574.0
117,5cef72e1af95641c52e9adc6,1,2019-05-30 06:06:25,0.66,30.0,0.99,25.0,3574.0
118,5cef72ebaf95641c52e9adc7,1,2019-05-30 06:06:35,0.66,30.0,0.99,25.0,3574.0
119,5cef72f5af95641c52e9adc8,1,2019-05-30 06:06:45,0.66,30.0,0.99,25.0,3574.0
120,5cef72ffaf95641c52e9adc9,1,2019-05-30 06:06:55,0.66,30.0,0.99,25.0,3574.0
